time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.735484	0.629614	7.20032	1.60665e-16	-2.79133e-16	radar	74.7574	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.15918	0.495655	7.203	-0.176342	-1.02805	lidar	0.263011	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.29055	0.516535	7.23635	0.343121	2.84412	radar	2.15791	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.59479	0.603494	7.27353	0.354635	2.16869	lidar	0.531344	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.80857	0.56589	7.16898	0.156615	1.16755	radar	1.10474	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.16405	0.64017	7.18356	0.226831	1.23544	lidar	0.0517054	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.36633	0.672416	6.19441	0.278047	1.58046	radar	8.81559	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.65647	0.721245	6.18446	0.267953	1.04857	lidar	0.244665	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.92175	0.689214	5.79533	0.16123	0.358655	radar	3.57219	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15924	0.702462	5.73537	0.144489	0.227836	lidar	1.52535	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.45863	0.55082	5.59851	-0.126992	-0.818215	radar	3.22342	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.76733	0.426586	5.63812	-0.285862	-1.20399	lidar	1.92157	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.04415	0.518474	5.62913	-0.134485	-0.593096	radar	3.66855	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.31804	0.510789	5.61203	-0.129637	-0.505863	lidar	0.311624	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.57642	0.541786	5.52338	-0.0958846	-0.375366	radar	2.38205	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.76062	0.654116	5.35653	0.015677	-0.0920969	lidar	13.2697	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	5.01199	0.651357	5.29076	0.00372908	-0.107577	radar	2.52272	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.31551	0.646966	5.34056	-0.00797671	-0.120484	lidar	2.20156	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.57243	0.654687	5.33962	-0.00424463	-0.102096	radar	1.60104	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.86668	0.669866	5.36975	0.00103933	-0.0851467	lidar	1.36302	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.11108	0.592492	5.32422	-0.0562368	-0.172296	radar	4.23122	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.36627	0.707923	5.29675	0.0193974	-0.0424804	lidar	4.02367	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.61778	0.737533	5.26517	0.0317541	-0.0219799	radar	0.972669	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.86616	0.736122	5.25057	0.025534	-0.0291656	lidar	0.397522	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
